trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.99, 'e': 0.26008546137772603}",20,0,-13.005810407243693,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
135,False,"{'a': 0.99, 'e': 0.25748460676394874}",25,0,26.370329119836736,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.99, 'e': 0.2549097606963093}",20,7,9.228024968128251,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.99, 'e': 0.2523606630893462}",25,9,-30.061936719062782,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.99, 'e': 0.2498370564584527}",35,21,26.18273187819591,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.99, 'e': 0.24733868589386818}",30,17,17.572709465665255,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.99, 'e': 0.24486529903492948}",25,19,11.095363956737149,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.99, 'e': 0.2424166460445802}",20,13,-28.515686990667483,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.99, 'e': 0.2399924795841344}",25,6,1.0628144727654723,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.99, 'e': 0.23759255478829303}",20,8,9.661786122885088,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.99, 'e': 0.23521662924041012}",20,0,19.16021116477314,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.99, 'e': 0.232864462948006}",25,11,26.895915138827675,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.99, 'e': 0.23053581831852593}",30,13,-35.68326335461973,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.99, 'e': 0.22823046013534068}",30,6,-22.800095592331775,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.99, 'e': 0.22594815553398728}",25,17,14.08689850582856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.99, 'e': 0.2236886739786474}",20,14,11.679248205560944,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.99, 'e': 0.22145178723886091}",25,13,10.59688866721899,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.99, 'e': 0.2192372693664723}",20,8,1.4936940469278426,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.99, 'e': 0.21704489667280757}",30,6,-51.0276920199118,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 1}",1
153,False,"{'a': 0.99, 'e': 0.2148744477060795}",25,7,21.69158622195649,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.99, 'e': 0.2127257032290187}",30,14,15.8032277229651,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.99, 'e': 0.21059844619672852}",35,3,-76.79545499968123,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 2}",1
156,False,"{'a': 0.99, 'e': 0.20849246173476124}",25,0,-18.945999637673417,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
157,False,"{'a': 0.99, 'e': 0.2064075371174136}",25,13,-32.38195327962526,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.99, 'e': 0.20434346174623946}",20,8,19.972917293763132,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.99, 'e': 0.2023000271287771}",20,0,14.723863218165423,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.99, 'e': 0.20027702685748933}",20,0,-16.39855945967404,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
161,False,"{'a': 0.99, 'e': 0.19827425658891443}",25,6,22.12051947000221,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.99, 'e': 0.19629151402302528}",20,10,20.763351059907773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.99, 'e': 0.19432859888279502}",20,8,-14.594643412910141,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.99, 'e': 0.19238531289396707}",20,12,11.433524032201381,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.99, 'e': 0.1904614597650274}",20,13,13.945263780735008,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.99, 'e': 0.1885568451673771}",20,0,-8.542626463385725,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
167,False,"{'a': 0.99, 'e': 0.18667127671570335}",25,6,9.18206062200133,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.99, 'e': 0.1848045639485463}",25,0,-61.51259863097837,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
169,False,"{'a': 0.99, 'e': 0.18295651830906084}",25,11,15.28709305466632,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.99, 'e': 0.18112695312597024}",20,0,21.425767612748935,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.99, 'e': 0.17931568359471053}",20,11,-3.993597264649211,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.99, 'e': 0.17752252675876343}",20,14,12.73390384376707,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.99, 'e': 0.1757473014911758}",20,8,9.554014585791963,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.99, 'e': 0.17398982847626404}",20,5,16.300672442422023,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.99, 'e': 0.1722499301915014}",25,11,23.937617796642705,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.99, 'e': 0.17052743088958636}",25,6,12.104855949439637,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.99, 'e': 0.1688221565806905}",25,8,-25.990292396429247,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.99, 'e': 0.1671339350148836}",20,12,13.457547355532997,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.99, 'e': 0.16546259566473476}",25,17,16.558551611468662,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.99, 'e': 0.16380796970808742}",25,11,9.379614134024019,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.99, 'e': 0.16216989001100654}",30,21,2.206911364809545,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.99, 'e': 0.16054819111089647}",30,12,-9.18087693565993,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
183,False,"{'a': 0.99, 'e': 0.1589427091997875}",20,0,14.406109507367294,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.99, 'e': 0.15735328210778962}",25,7,14.33290172052696,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
